Restaurant Name,Country
Albi,Palestine
Amazonia / Causa,Peru
Ambar,North Macedonia / Montenegro / Bosnia and Herzegovina
Andy’s Pizza Shaw / V St.,United States
Angelino's Pizza,Italy
Anita's,United States
Anju,South Korea
Apollonio Grill House,Greece
Arepa Zone,Venezuela
Artemis Bakery,Greece
Astoria DC,China
Atítaquos,Mexico
Baan Mae,Laos
Baked & Wired,United States
Bakeshop, United States
Banh Mi DC,Vietnam
Bar Chinois,China
Barriello,Italy
Bayou Bakery,United States
Beau Thai,Thailand
Bistro Aracosia,Afghanistan
Brass Rabbit,United States
Brooklyn Bagel,United States
Buuz Thai Eatery,Mongolia
Cafe Aurora,Mexico
Cana,Brazil
Caphe Banh Mi,Vietnam
Ceibo,Uruguay
Chewish Deli,United States
Chit Chaat Cafe,India
CIRCA at Clarendon,United States
Colada Shop,Cuba
Compliments Only,United States
Corado’s,Guatemala
Cordelia Fishbar,United States
Daru,Nepal
Eddie’s Little Shop & Deli,United States
En Athinas,Greece
Expendio de Maiz Sin Nombre,Mexico
Fettoosh,Morocco
Founding Farmers DC,United States
Four Sister's Grill,Vietnam
Garden The Juice Bar,United States
Ghostburger,United States
Grazie Nonna,Italy
Green Pig Bistro,United States
Hanabi Ramen,Japan
Hawkers,China / Japan / India / Cambodia
Heat Da Spot Café,Ethiopia
High Side,Taiwan
Jaleo by José Andrés,Spain
JINYA Ramen Bar – Logan Circle,Japan
Judy Restaurant,El Salvador
Karodromos,Greece
Karravaan,Turkmenistan
Kelley Farm Kitchen,United States
King of Koshary,Egypt
Kyra Milos,Greece
La Bonne Vache,France
La Tejana,Mexico
Lapis,Afghanistan
Lardo,Italy / France
Layli,Lebanon
La’ Shukran,Lebanon
L’Ardente,Italy
Mama Chave,El Salvador / Honduras 
Martha Dear,Italy
Masala y Maíz,Mexico / India
Maxwells Trading,Japan / United States / Italy / Korea
Maydan,Algeria
Meat the Greek,Greece
Medusa,Greece
Merkavá de Daniel Ovadia,Israel
Monteverde Restaurant & Pastificio,Italy
Morena Cafe,Peru
Mouratos Bakery,Greece
My Little Chamomile,Turkey
Máximo,Mexico / France
Nam Viet,Vietnam
Nina May,United States
Nino's Bakery,France
O! Hamos! Tavern,Greece
Omar’s Pitas & Platters,Iraq
Open Crumb,Ghana / Nigeria
Ottoman Taverna,Turkey
Pearl's Bagels,United States
Pines of Florence,Italy
Rania,India
Rasika,India
Republic Cantina,Mexico
Residents Cafe & Bar,Greece
Retrobottega,Italy
Rice Restaurant,Thailand / Japan
RIMTANG DC,Thailand
Room Service,Thailand
Rose Ave Bakery,Vietnam
Rumi’s Kitchen – DC,Iran
Saints Paradise Cafeteria,United States
Sawatdee,Thailand
Seychelles,Greece
Southeast Impression,Malaysia
Spice Kraft Indian Bistro,India
Stracci Pizza,Italy
Supra,Georgia
Sushi Jip,Japan
TaKorean,South Korea / Mexico
Tamashaa,India
TAPORI,India
Tasty Chicken Box,Yemen
Taverna Cretekou,Greece
Teddy’s Roti Shop,Trinidad and Tobago
Ted’s Bulletin,United States
The Italian Store,Italy
The Red Hen,Italy
Tiger Dumplings,China
Tonari,Japan
Tortas y Tacos La Chiquita,Mexico
Tylixto | Monastiraki,Greece
Westville,United States
Yellow,Palestine
Zaytinya,Lebanon / Greece / Turkey
Zazzy,Lebanon
